______________________________________________________ 
|     Chave|     Dados|                          Nome|
|.......634|.........0|..........................Hayk|
|.......634|.........0|..........................Hayk|
|.......634|.........0|.......................Maimuna|
|.......637|.........0|.........................Valli|
|.......637|.........0|.........................Valli|
|.......642|.........0|.....................Tavarious|
|.......642|.........0|.....................Tavarious|
|.......647|.........0|........................Winner|
|.......647|.........0|........................Winner|
|.......647|.........0|........................Winner|
|.......647|.........0|........................Werner|
|.......647|.........0|........................Winner|
|.......651|.........0|........................Waylin|
|.......651|.........0|........................Weylin|
|.......652|.........0|..........................Rilo|
|.......654|.........0|......................Timothee|
|.......654|.........0|..........................Tate|
|.......654|.........0|......................Timothee|
|.......657|.........0|......................Rosselyn|
|.......657|.........0|......................Rosselyn|
|.......661|.........0|.......................Oconnor|
|.......662|.........0|..........................Viva|
|.......663|.........0|........................Kayzen|
|.......663|.........0|........................Kaizen|
|.......666|.........0|........................Ramsie|
|.......670|.........0|..........................Rari|
|.......670|.........0|..........................Rori|
|.......670|.........0|..........................Rori|
|.......674|.........0|........................Shivam|
|.......676|.........0|........................Zymere|
|.......678|.........0|.........................Quynn|
|.......678|.........0|.........................Quinn|
|.......680|.........0|..........................Rush|
|.......680|.........0|..........................Rush|
|.......680|.........0|..........................Rush|
|.......684|.........0|.........................Khari|
|.......684|.........0|.........................Kerri|
|.......684|.........0|.........................Kapri|
|.......684|.........0|.........................Kaori|
|.......684|.........0|.........................Kahri|
|.......684|.........0|.........................Kahri|
|.......684|.........0|.........................Kmari|
|.......684|.........0|.........................Kiari|
|.......684|.........0|.........................Kapri|
|.......684|.........0|.........................Kiari|
|.......684|.........0|.........................Khari|
|.......692|.........0|........................Zurina|
|.......692|.........0|........................Zarina|
|.......692|.........0|........................Zerina|
|.......692|.........0|........................Zurina|
|.......695|.........0|..........................Uswa|
|.......695|.........0|..........................Uswa|
|.......696|.........0|........................Yarely|
|.......696|.........0|........................Yanely|
|.......696|.........0|.......................Yasmely|
|.......697|.........0|........................Rashun|
|.......697|.........0|........................Rashun|
|.......698|.........0|.......................Sandhya|
|.......698|.........0|........................Sophya|
|.......703|.........0|......................Jeanpaul|
|.......703|.........0|..........................Qais|
|.......718|.........0|..........................East|
|.......720|.........0|........................Roniya|
|.......720|.........0|........................Raniya|
|.......720|.........0|........................Roniya|
|.......720|.........0|........................Rukiya|
|.......720|.........0|........................Rakiya|
|.......720|.........0|........................Raziya|
|.......722|.........0|........................Tvisha|
|.......722|.........0|........................Tvisha|
|.......722|.........0|.......................Tanisha|
|.......722|.........0|........................Tvisha|
|.......722|.........0|........................Tvisha|
|.......722|.........0|........................Tvisha|
|.......722|.........0|.......................Tanisha|
|.......724|.........0|.......................Nechuma|
|.......733|.........0|........................Lebron|
|.......733|.........0|........................Torren|
|.......733|.........0|........................Tarren|
|.......733|.........0|.........................Yonis|
|.......733|.........0|.........................Yanis|
|.......733|.........0|.......................Theoren|
|.......733|.........0|........................Thoren|
|.......733|.........0|........................Lebron|
|.......733|.........0|......................Lamarion|
|.......733|.........0|.......................Corazon|
|.......733|.........0|........................Thoren|
|.......733|.........0|.........................Yanis|
|.......733|.........0|........................Tauren|
|.......737|.........0|........................Tyjuan|
|.......737|.........0|.......................Trequan|
|.......738|.........0|.......................Yassine|
|.......738|.........0|.......................Yassine|
|.......738|.........0|........................Pruitt|
|.......738|.........0|.......................Yassine|
|.......738|.........0|........................Yacine|
|.......738|.........0|........................Yacine|
|.......738|.........0|........................Yacine|
|.......738|.........0|.......................Yassine|
|.......738|.........0|........................Yvaine|
|.......738|.........0|.......................Yasmine|
|.......738|.........0|.......................Yazmine|
|.......738|.........0|.......................Yasmine|
|.......739|.........0|........................Sherif|
|.......748|.........0|.......................Emalynn|
|.......748|.........0|.......................Elowynn|
|.......748|.........0|.......................Eralynn|
|.......748|.........0|........................Evlynn|
|.......748|.........0|.......................Evelynn|
|.......748|.........0|.......................Elowynn|
|.......748|.........0|..........................Evyn|
|.......748|.........0|.......................Emalynn|
|.......748|.........0|.......................Emalynn|
|.......748|.........0|........................Carsyn|
|.......748|.........0|.......................Evalynn|
|.......748|.........0|........................Ezlynn|
